Date,School,Pts,home_away,Opponent,Opp,win_lost
2010-09-04,Houston,68,home,Texas State,28,W
2010-09-10,Houston,54,home,UTEP,24,W
2010-09-25,Houston,42,home,Tulane,23,W
2010-10-09,Houston,24,home,Mississippi State,47,L
2010-11-05,Houston,33,home,UCF,40,L
2010-11-13,Houston,25,home,Tulsa,28,L
2011-09-03,Houston,38,home,UCLA,34,W
2011-09-24,Houston,56,home,Georgia State,0,W
2011-10-08,Houston,56,home,East Carolina,3,W
2011-10-22,Houston,63,home,Marshall,28,W
2011-10-27,Houston,73,home,Rice,34,W
2011-11-19,Houston,37,home,SMU,7,W
2011-12-03,Houston,28,home,Southern Mississippi,49,L
2012-09-01,Houston,13,home,Texas State,30,L
2012-09-08,Houston,49,home,Louisiana Tech,56,L
2012-10-06,Houston,44,home,North Texas,21,W
2012-10-13,Houston,39,home,UAB,17,W
2012-10-27,Houston,45,home,UTEP,35,W
2012-11-10,Houston,7,home,Tulsa,41,L
2012-11-24,Houston,40,home,Tulane,17,W
2013-08-30,Houston,62,home,Southern,13,W
2013-10-31,Houston,35,home,South Florida,23,W
2014-08-29,Houston,7,home,UTSA,27,L
2014-09-06,Houston,47,home,Grambling State,0,W
2014-09-20,Houston,47,home,Nevada-Las Vegas,14,W
2014-10-02,Houston,12,home,UCF,17,L
2014-10-17,Houston,31,home,Temple,10,W
2014-11-08,Houston,24,home,Tulane,31,L
2014-11-22,Houston,38,home,Tulsa,28,W
2015-09-05,Houston,52,home,Tennessee Tech,24,W
2015-09-26,Houston,59,home,Texas State,14,W
2015-10-08,Houston,49,home,SMU,28,W
2015-10-31,Houston,34,home,Vanderbilt,0,W
2015-11-07,Houston,33,home,Cincinnati,30,W
2015-11-14,Houston,35,home,Memphis,34,W
2015-11-27,Houston,52,home,Navy,31,W
2015-12-05,Houston,24,home,Temple,13,W
2016-09-10,Houston,42,home,Lamar,0,W
2016-09-29,Houston,42,home,Connecticut,14,W
2016-10-15,Houston,38,home,Tulsa,31,W
2016-10-29,Houston,31,home,UCF,24,W
2016-11-12,Houston,30,home,Tulane,18,W
2016-11-17,Houston,36,home,Louisville,10,W
2017-09-16,Houston,38,home,Rice,3,W
2017-09-23,Houston,24,home,Texas Tech,27,L
2017-10-07,Houston,35,home,SMU,22,W
2017-10-19,Houston,38,home,Memphis,42,L
2017-11-04,Houston,52,home,East Carolina,27,W
2017-11-24,Houston,24,home,Navy,14,W
